date,sin
03-Jan-00,94.75
04-Jan-00,88.25
05-Jan-00,86
06-Jan-00,80.09375
07-Jan-00,90
08-Jan-00,92.5
09-Jan-00,88
10-Jan-00,86.0625
11-Jan-00,91.25
12-Jan-00,93.375
13-Jan-00,93.875
14-Jan-00,96
15-Jan-00,95.0625
16-Jan-00,96.25
17-Jan-00,91.625
18-Jan-00,93
19-Jan-00,89.25
20-Jan-00,90.5625
21-Jan-00,86
22-Jan-00,89.6875
23-Jan-00,92.09375
24-Jan-00,92.875
25-Jan-00,96.5
26-Jan-00,97.15625
27-Jan-00,98.5
28-Jan-00,102.625
29-Jan-00,99
30-Jan-00,102.25
31-Jan-00,99.875
01-Feb-00,99.75
02-Feb-00,100.46875
03-Feb-00,100
04-Feb-00,102.125
05-Feb-00,98.4375
06-Feb-00,98.75
07-Feb-00,104.25
08-Feb-00,106.5
09-Feb-00,104.0625
10-Feb-00,104
11-Feb-00,106.75
12-Feb-00,107.625
13-Feb-00,105.1328125
14-Feb-00,111.0625
15-Feb-00,111.9375
16-Feb-00,110.25
17-Feb-00,111.25
18-Feb-00,115
19-Feb-00,114.5
20-Feb-00,111.5
21-Feb-00,107.375
22-Feb-00,102.875
23-Feb-00,108.75
24-Feb-00,110.8125
25-Feb-00,107.6875
26-Feb-00,111.75
27-Feb-00,114
28-Feb-00,116
29-Feb-00,117.5625
01-Mar-00,117.75
02-Mar-00,114.75
03-Mar-00,110
04-Mar-00,107.25
05-Mar-00,109.5
06-Mar-00,102.9375
07-Mar-00,101.9375
08-Mar-00,100.125
09-Mar-00,102.5
10-Mar-00,106.625
11-Mar-00,100.125
12-Mar-00,97.75
13-Mar-00,92
14-Mar-00,88
15-Mar-00,80.375
16-Mar-00,89.625
17-Mar-00,92
18-Mar-00,89.1875
19-Mar-00,87.25
20-Mar-00,84.75
21-Mar-00,90.46875
22-Mar-00,87.375
23-Mar-00,91.25
24-Mar-00,94.75
25-Mar-00,95.625
26-Mar-00,90.125
27-Mar-00,89.125
28-Mar-00,89.3125
29-Mar-00,91.4375
30-Mar-00,87.875
31-Mar-00,86
01-Apr-00,79.75
02-Apr-00,84.625
03-Apr-00,84.625
04-Apr-00,88.3125
05-Apr-00,90.8125
06-Apr-00,88.9375
07-Apr-00,85.75
08-Apr-00,81.6875
09-Apr-00,81.625
10-Apr-00,74.8125
11-Apr-00,79.5
12-Apr-00,77.75
13-Apr-00,77.75
14-Apr-00,85.5625
15-Apr-00,83.125
16-Apr-00,87.375
17-Apr-00,93.625
18-Apr-00,93.859375
19-Apr-00,91.25
20-Apr-00,93.6875
21-Apr-00,93.25
22-Apr-00,93.75
23-Apr-00,90.75
24-Apr-00,94.25
25-Apr-00,92.125
26-Apr-00,93.75
27-Apr-00,94.25
28-Apr-00,98
29-Apr-00,97.625
30-Apr-00,98.875
01-May-00,95.25
02-May-00,91.5
03-May-00,94
04-May-00,92.875
05-May-00,94
06-May-00,91.640625
07-May-00,93.4375
08-May-00,95.25
09-May-00,91.5625
10-May-00,94
11-May-00,95.9375
12-May-00,94.484375
13-May-00,95
14-May-00,97.25
15-May-00,98.5
16-May-00,100.625
17-May-00,101.75
18-May-00,99.5
19-May-00,97.25
20-May-00,100.375
21-May-00,97
22-May-00,95
23-May-00,95.75
24-May-00,95.625
25-May-00,91.875
26-May-00,86.875
27-May-00,89.4375
28-May-00,88.25
29-May-00,86.6875
30-May-00,90.4375
31-May-00,90.125
01-Jun-00,92.25
02-Jun-00,94.125
03-Jun-00,91.625
04-Jun-00,89.8125
05-Jun-00,91.0625
06-Jun-00,93
07-Jun-00,93
08-Jun-00,93.9375
09-Jun-00,95.75
10-Jun-00,95.25
11-Jun-00,95.5
12-Jun-00,95.5
13-Jun-00,97.0625
14-Jun-00,98.5625
15-Jun-00,98.03125
16-Jun-00,98.5
17-Jun-00,99
18-Jun-00,98.875
19-Jun-00,101.625
20-Jun-00,102.625
21-Jun-00,99.5
22-Jun-00,96
23-Jun-00,98.125
24-Jun-00,95.125
25-Jun-00,92.8125
26-Jun-00,91.375
27-Jun-00,93.5
28-Jun-00,93
29-Jun-00,91.3125
30-Jun-00,89.875
01-Jul-00,93.1875
02-Jul-00,94.625
03-Jul-00,87.75
04-Jul-00,92.9375
05-Jul-00,90.46875
06-Jul-00,89.4375
07-Jul-00,89.5625
08-Jul-00,91.5625
09-Jul-00,88.75
10-Jul-00,86.75
11-Jul-00,84
12-Jul-00,85.625
13-Jul-00,85.875
14-Jul-00,83
15-Jul-00,82.625
16-Jul-00,78.3125
17-Jul-00,77.0625
18-Jul-00,75.125
19-Jul-00,81.25
20-Jul-00,82
21-Jul-00,78.25
22-Jul-00,78
23-Jul-00,85.0625
24-Jul-00,86.3125
25-Jul-00,86.1875
26-Jul-00,82.5
27-Jul-00,77.875
28-Jul-00,79.875
29-Jul-00,79.71875
30-Jul-00,76.765625
31-Jul-00,81.703125
01-Aug-00,81
02-Aug-00,82
03-Aug-00,83.0625
04-Aug-00,82.4375
05-Aug-00,82.125
06-Aug-00,75.703125
07-Aug-00,75.6875
08-Aug-00,71.75
09-Aug-00,71.859375
10-Aug-00,75.84375
11-Aug-00,77.375
12-Aug-00,72.875
13-Aug-00,72.828125
14-Aug-00,69.859375
15-Aug-00,69.75
16-Aug-00,66.625
17-Aug-00,70.4375
18-Aug-00,69.5625
19-Aug-00,65.453125
20-Aug-00,62.9375
21-Aug-00,62.984375
22-Aug-00,64
23-Aug-00,65
24-Aug-00,70.6875
25-Aug-00,68
26-Aug-00,66.5
27-Aug-00,68
28-Aug-00,74.375
29-Aug-00,71.65625
30-Aug-00,68.734375
31-Aug-00,65.375
01-Sep-00,63.875
02-Sep-00,64
03-Sep-00,59.125
04-Sep-00,55.734375
05-Sep-00,56.0625
06-Sep-00,60.5
07-Sep-00,60.875
08-Sep-00,61.5625
09-Sep-00,61.4375
10-Sep-00,58.375
11-Sep-00,53.4375
12-Sep-00,62.4375
13-Sep-00,61.3125
14-Sep-00,56.625
15-Sep-00,57.25
16-Sep-00,57.25
17-Sep-00,60.1875
18-Sep-00,61.9375
19-Sep-00,62.734375
20-Sep-00,61.984375
21-Sep-00,63.875
22-Sep-00,66.5625
23-Sep-00,66.3125
24-Sep-00,66.375
25-Sep-00,67.765625
26-Sep-00,67.125
27-Sep-00,64.5
28-Sep-00,65.546875
29-Sep-00,67
30-Sep-00,66.75
01-Oct-00,64.30000305
02-Oct-00,65.15000153
03-Oct-00,61.54999924
04-Oct-00,61.5
05-Oct-00,61.59999847
06-Oct-00,60.59999847
07-Oct-00,58.79000092
08-Oct-00,56.40000153
09-Oct-00,57.08000183
10-Oct-00,55.25
11-Oct-00,57.45000076
12-Oct-00,58.40000153
13-Oct-00,55.13000107
14-Oct-00,52.99000168
15-Oct-00,51.5
16-Oct-00,51
17-Oct-00,51.18000031
18-Oct-00,52.15000153
19-Oct-00,49
20-Oct-00,47.45000076
21-Oct-00,48.79999924
22-Oct-00,46.70000076
23-Oct-00,47.54999924
24-Oct-00,49.40000153
25-Oct-00,49.41999817
26-Oct-00,48.5
27-Oct-00,45.09999847
28-Oct-00,42.29999924
29-Oct-00,44.45000076
30-Oct-00,43.75
31-Oct-00,42.15000153
01-Nov-00,41.20000076
02-Nov-00,43.25999832
03-Nov-00,40.34999847
04-Nov-00,40.34999847
05-Nov-00,42.79999924
06-Nov-00,42.79999924
07-Nov-00,41.81000137
08-Nov-00,43.25
09-Nov-00,39.70000076
10-Nov-00,38.95000076
11-Nov-00,39.15000153
12-Nov-00,37.40000153
13-Nov-00,34.65999985
14-Nov-00,34.04999924
15-Nov-00,37.31000137
16-Nov-00,35.95000076
17-Nov-00,37.04999924
18-Nov-00,39.79999924
19-Nov-00,41
20-Nov-00,42.79999924
21-Nov-00,40.25
22-Nov-00,41.25
23-Nov-00,45.54999924
24-Nov-00,48.29999924
25-Nov-00,48.40000153
26-Nov-00,45.15000153
27-Nov-00,44.29999924
28-Nov-00,45.09999847
29-Nov-00,43.95000076
30-Nov-00,45.15000153
01-Dec-00,46.15000153
02-Dec-00,48.04999924
03-Dec-00,48.97999954
04-Dec-00,46.79999924
05-Dec-00,48.20000076
06-Dec-00,47.20000076
07-Dec-00,48.20000076
08-Dec-00,46.54999924
09-Dec-00,45.77000046
10-Dec-00,45.54999924
11-Dec-00,44.81999969
12-Dec-00,45.15000153
13-Dec-00,47.15000153
14-Dec-00,47.90000153
15-Dec-00,48.04000092
16-Dec-00,51.04999924
17-Dec-00,50.90000153
18-Dec-00,48.65000153
19-Dec-00,49.90000153
20-Dec-00,48.99000168
21-Dec-00,46.11999893
22-Dec-00,44.43000031
23-Dec-00,44.72999954
24-Dec-00,46.04999924
25-Dec-00,45.83000183
26-Dec-00,47.84999847
27-Dec-00,47.47999954
28-Dec-00,48.70000076
29-Dec-00,47.34999847
30-Dec-00,46.04999924
31-Dec-00,45.79999924
01-Jan-01,44.54999924
02-Jan-01,42.25
03-Jan-01,42.59999847
04-Jan-01,42.02999878
05-Jan-01,41.81999969
06-Jan-01,42.77000046
07-Jan-01,43.34999847
08-Jan-01,43.25
09-Jan-01,43.36000061
10-Jan-01,43.50999832
11-Jan-01,43.79000092
12-Jan-01,44.34999847
13-Jan-01,45.70000076
14-Jan-01,45.45000076
15-Jan-01,45.63999939
16-Jan-01,43.45000076
17-Jan-01,41.65000153
18-Jan-01,42.00999832
19-Jan-01,40.5
20-Jan-01,41
21-Jan-01,43.59999847
22-Jan-01,43.15000153
23-Jan-01,42.34999847
24-Jan-01,43.29999924
25-Jan-01,41.65000153
26-Jan-01,42.63999939
27-Jan-01,41.65000153
28-Jan-01,40.61000061
29-Jan-01,40.15000153
30-Jan-01,40.5
31-Jan-01,41.09999847
01-Feb-01,41.95000076
02-Feb-01,41.70000076
03-Feb-01,41.75999832
04-Feb-01,43.09999847
05-Feb-01,43.90999985
06-Feb-01,43.18000031
07-Feb-01,42.5
08-Feb-01,42.27999878
09-Feb-01,40.5
10-Feb-01,40.66999817
11-Feb-01,40.27999878
12-Feb-01,41.09999847
13-Feb-01,40.59999847
14-Feb-01,39.09999847
15-Feb-01,39.56000137
16-Feb-01,37.75999832
17-Feb-01,38.27999878
18-Feb-01,36.68999863
19-Feb-01,37.68999863
20-Feb-01,37.31999969
